"Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m50953634854","2024-07-17","","2024-07-19","Smiski - Turtle Best Friend Plush Keyring/Keychain","Completed","Pennsylvania","New York","38.99","4.99","0.00","0.00","0.00","0.00","38.99","2.64","0.00","3.11","0.00","1.65"
"m20248046499","2024-07-11","","2024-07-22","iPhone 13 Pro Max Apple silicone case (midnight)","Completed","Indiana","New York","20.00","6.99","0.00","0.00","0.00","0.00","20.00","1.85","0.00","1.60","0.00","1.38"
"m64007119584","2024-07-15","","2024-07-23","Smiski - Moving Series (Secret)","Completed","California","New York","104.00","4.99","0.00","0.00","0.00","0.00","104.00","8.06","0.00","9.36","0.00","4.17"
"m56331365231","2024-07-18","","2024-07-25","Re-Ment - Miffy Room Blind Box (Bed)","Completed","Texas","New York","21.00","3.99","0.00","0.00","0.00","0.00","21.00","2.17","0.00","1.68","0.00","1.05"
"m37935713044","2024-07-13","","2024-07-25","Sonny Angel - Animal Hipper (Elephant)","Completed","California","New York","15.00","3.99","0.00","0.00","0.00","0.00","15.00","1.16","0.00","1.20","0.00","0.97"
"m40564851852","2024-07-23","","2024-07-26","POPMART Pucky - The Feast","Completed","New York","New York","20.00","5.99","0.00","0.00","0.00","0.00","20.00","2.31","0.00","1.80","0.00","0.00"
"m49519213989","2024-07-21","","2024-07-30","Smiski - Turtle Best Friend Plush Keyring/Keychain","Completed","California","New York","39.99","4.99","0.00","0.00","0.00","0.00","39.99","3.65","0.00","0.79","0.00","1.93"
"m24417439854","2024-07-22","","2024-07-30","POPMART Pucky - The Feast (Hand-Pulled Noodles)","Completed","California","New York","16.99","5.99","0.00","0.00","0.00","0.00","16.99","1.32","0.00","0.84","0.00","1.23"
"m61772854989","2024-07-24","","2024-07-30","Sonny Angel - Animal Hipper (Lion)","Completed","California","New York","19.99","3.99","0.00","0.00","0.00","0.00","19.99","1.90","0.00","1.59","0.00","1.30"
"m28655778451","2024-07-26","","2024-07-31","custom bundle","Completed","Georgia","New York","22.00","4.99","0.00","0.00","0.00","0.00","22.00","1.60","0.00","1.76","0.00","1.38"
"m38497889667","2024-07-25","","2024-08-01","Sonny Angel - Candy Store (sealed box)","Completed","California","New York","50.99","4.99","0.00","0.00","0.00","0.00","50.99","3.95","0.00","4.07","0.00","2.21"
"m84419748648","2024-07-22","","2024-08-01","Sonny Angel - Old Vegetable Series (Lettuce)","Completed","California","New York","10.99","3.99","0.00","0.00","0.00","0.00","10.99","1.18","0.00","0.87","0.00","0.99"
"m72911557828","2024-07-27","","2024-08-02","Smiski - Turtle Best Friend Plush Keyring/Keychain","Completed","Georgia","New York","40.99","3.99","0.00","0.00","0.00","0.00","40.99","3.48","0.00","1.22","0.00","1.94"
"m56226359567","2024-07-27","","2024-08-02","Sonny Angel - Animal Hipper (Elephant)","Completed","Arkansas","New York","15.00","3.99","0.00","0.00","0.00","0.00","15.00","1.62","0.00","2.10","0.00","0.96"
"m65461362919","2024-07-30","","2024-08-03","Sonny Angel - Dinosaur Series (Pteranodon)","Completed","California","New York","14.99","3.99","0.00","0.00","0.00","0.00","14.99","1.48","0.00","1.19","0.00","1.13"
"m35889136440","2024-07-29","","2024-08-06","Sonny Angel - Old Vegetable Series (Eggplant)","Completed","Texas","New York","11.73","3.99","0.00","0.00","0.00","0.00","11.73","1.11","0.00","0.82","0.00","1.01"
"m96603762791","2024-08-02","","2024-08-06","Sonny Angel - Vegetable Hipper (Tomato)","Completed","North Carolina","New York","15.00","3.99","0.00","0.00","0.00","0.00","15.00","1.26","0.00","1.20","0.00","1.12"
"m71989318970","2024-08-03","","2024-08-06","Smiski - Hide and Seek Plush Pin Badge","Completed","Michigan","New York","40.99","4.99","0.00","0.00","0.00","0.00","40.99","2.46","0.00","3.27","0.00","2.00"
